abs1n50,9974.38,9974.38,1800
abs2n50,10632.24,10632.24,1800
abs3n50,10548.98,10548.98,1800
abs4n50,10555.38,10555.38,1800
abs5n50,10137.4,10137.4,1800
abs6n50,10166.1,10166.1,1800
abs7n50,10012.68,10012.68,1800
abs8n50,10547.97,10547.97,1800
abs9n50,10052.78,10052.78,1800
abs10n50,9727.74,9727.74,1800
abs1n100,15784.02,15784.02,1800
abs2n100,14754.1,14754.1,1800
abs3n100,15649.44,15649.44,1800
abs4n100,14755.76,14755.76,1800
abs5n100,15412.83,15412.83,1800
abs6n100,15327.08,15327.08,1800
abs7n100,15468.98,15468.98,1800
abs8n100,15078.16,15078.16,1800
abs9n100,15628.66,15628.66,1800
abs10n100,15495.87,15495.87,1800
abs1n200,24353.4,24353.4,1800
abs2n200,24576.55,24576.55,1800
abs3n200,23861.65,23861.65,1800
abs4n200,24232.73,24232.73,1800
abs5n200,24193.98,24193.98,1800
abs6n200,23651.81,23651.81,1800
abs7n200,23527.12,23527.12,1800
abs8n200,23230.42,23230.42,1800
abs9n200,23846.19,23846.19,1800
abs10n200,23609.34,23609.34,1800
